unique_id: "Familyties_crew_HalfShatter_Lv1"
archetypeName: "Guard - Protect"
attitude: AttitudeAggressive
stats {
  body: 3
  quickness: 3
  strength: 2
  charisma: 2
  intelligence: 3
  willpower: 2
  essence: 6
  magic: 0
  reaction: 0
  hp: 0
  ap: 2
  armor: 0
  force: 0
  morale: 75
  discipline: 75
  awareness: 75
  perception: 40
  authority: 50
  protect_tether_range: 5
  move_speed: 6
  is_fearless: 0
  is_strict: 0
}
skills {
  ranged_combat: 2
  close_combat: 1
  throwing_weapons: 0
  spellcasting: 0
  decking: 3
  deck_build_repair: 0
  conjuring: 0
  spirit_summoning: 0
  spirit_control: 0
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 0
  dodge: 1
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
  chi_casting: 0
  etiquette_shadowrunner: 1
  etiquette_street: 0
  etiquette_academic: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 0
  rifle: 0
  shotgun: 0
  smg: 1
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 0
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 0
  esp_control: 1
  drone_combat: 0
}
prefab_name: "Seattle:Core/DwarfFemale"
portrait {
  filename: "npc_halfshatter_adult"
}
attackRandom: AttackStyle_AllEqual
vulnerabilities {
  normal: VulnerabilityLevel_Default
  magic: VulnerabilityLevel_Default
  repair: VulnerabilityLevel_Default
  heal: VulnerabilityLevel_Default
  insecticide: VulnerabilityLevel_Default
  fire: VulnerabilityLevel_Default
  death: VulnerabilityLevel_Default
  buff: VulnerabilityLevel_Default
  debuff: VulnerabilityLevel_Default
  stun: VulnerabilityLevel_Default
  crit: VulnerabilityLevel_Default
  permadeath: VulnerabilityLevel_Default
  bleed: VulnerabilityLevel_Default
  actionpoints: VulnerabilityLevel_Default
  moverange: VulnerabilityLevel_Default
  disarm: VulnerabilityLevel_Default
  poison: VulnerabilityLevel_Default
  shock: VulnerabilityLevel_Default
  drain: VulnerabilityLevel_Default
  mental: VulnerabilityLevel_Default
}
